Period,changes-in-per-cent
31.01.1914,2.040816
28.02.1914,1.020408
31.03.1914,1.020408
30.04.1914,0
31.05.1914,2.061856
30.06.1914,1.020408
31.07.1914,1.010101
31.08.1914,3.030303
30.09.1914,2
31.10.1914,1
30.11.1914,0.990099
31.12.1914,1
31.01.1915,1
28.02.1915,1.010101
31.03.1915,0
30.04.1915,2.040816
31.05.1915,2.020202
30.06.1915,2.020202
31.07.1915,1
31.08.1915,-0.980392
30.09.1915,-0.980392
31.10.1915,0.990099
30.11.1915,0.980392
31.12.1915,1.980198
31.01.1916,2.970297
29.02.1916,4
31.03.1916,6.060606
30.04.1916,6
31.05.1916,5.940594
30.06.1916,6.930693
31.07.1916,6.930693
31.08.1916,7.920792
30.09.1916,9.90099
31.10.1916,10.784314
30.11.1916,11.650485
31.12.1916,12.621359
31.01.1917,12.5
28.02.1917,15.384615
31.03.1917,14.285714
30.04.1917,18.867925
31.05.1917,19.626168
30.06.1917,20.37037
31.07.1917,18.518519
31.08.1917,19.266055
30.09.1917,19.81982
31.10.1917,19.469027
30.11.1917,17.391304
31.12.1917,18.103448
31.01.1918,19.65812
28.02.1918,17.5
31.03.1918,16.666667
30.04.1918,12.698413
31.05.1918,13.28125
30.06.1918,13.076923
31.07.1918,17.96875
31.08.1918,18.461538
30.09.1918,18.045113
31.10.1918,18.518519
30.11.1918,20.740741
31.12.1918,20.437956
31.01.1919,17.857143
28.02.1919,14.893617
31.03.1919,17.142857
30.04.1919,17.605634
31.05.1919,16.551724
30.06.1919,14.965986
31.07.1919,15.231788
31.08.1919,14.935065
30.09.1919,13.375796
31.10.1919,13.125
30.11.1919,13.496933
31.12.1919,14.545455
31.01.1920,16.969697
29.02.1920,20.37037
31.03.1920,20.121951
30.04.1920,21.556886
31.05.1920,21.893491
30.06.1920,23.668639
31.07.1920,19.54023
31.08.1920,14.689266
30.09.1920,12.359551
31.10.1920,9.944751
30.11.1920,7.027027
31.12.1920,2.645503
31.01.1921,-1.554404
28.02.1921,-5.641026
31.03.1921,-7.106599
30.04.1921,-10.837438
31.05.1921,-14.07767
30.06.1921,-15.789474
31.07.1921,-14.903846
31.08.1921,-12.807882
30.09.1921,-12.5
31.10.1921,-12.060302
30.11.1921,-12.121212
31.12.1921,-10.824742
31.01.1922,-11.052632
28.02.1922,-8.152174
31.03.1922,-8.743169
30.04.1922,-7.734807
31.05.1922,-5.649718
30.06.1922,-5.113636
31.07.1922,-5.084746
31.08.1922,-6.214689
30.09.1922,-5.142857
31.10.1922,-4.571429
30.11.1922,-3.448276
31.12.1922,-2.312139
31.01.1923,-0.591716
28.02.1923,-0.591716
31.03.1923,0.598802
30.04.1923,1.197605
31.05.1923,1.197605
30.06.1923,1.796407
31.07.1923,2.380952
31.08.1923,3.012048
30.09.1923,3.614458
31.10.1923,3.592814
30.11.1923,2.97619
31.12.1923,2.366864
31.01.1924,2.97619
29.02.1924,2.380952
31.03.1924,1.785714
30.04.1924,0.591716
31.05.1924,0.591716
30.06.1924,0
31.07.1924,-0.581395
31.08.1924,-0.584795
30.09.1924,-0.581395
31.10.1924,-0.578035
30.11.1924,-0.578035
31.12.1924,0
31.01.1925,0
28.02.1925,0
31.03.1925,1.169591
30.04.1925,1.176471
31.05.1925,1.764706
30.06.1925,2.941176
31.07.1925,3.508772
31.08.1925,4.117647
30.09.1925,3.508772
31.10.1925,2.906977
30.11.1925,4.651163
31.12.1925,3.468208
31.01.1926,3.468208
28.02.1926,4.069767
31.03.1926,2.890173
30.04.1926,4.069767
31.05.1926,2.890173
30.06.1926,1.142857
31.07.1926,-1.129944
31.08.1926,-1.694915
30.09.1926,-1.129944
31.10.1926,-0.564972
30.11.1926,-1.666667
31.12.1926,-1.117318
31.01.1927,-2.234637
28.02.1927,-2.793296
31.03.1927,-2.808989
30.04.1927,-3.351955
31.05.1927,-2.247191
30.06.1927,-0.564972
31.07.1927,-1.142857
31.08.1927,-1.149425
30.09.1927,-1.142857
31.10.1927,-1.136364
30.11.1927,-2.259887
31.12.1927,-2.259887
31.01.1928,-1.142857
29.02.1928,-1.724138
31.03.1928,-1.156069
30.04.1928,-1.156069
31.05.1928,-1.149425
30.06.1928,-2.840909
31.07.1928,-1.156069
31.08.1928,-0.581395
30.09.1928,0
31.10.1928,-1.149425
30.11.1928,-0.578035
31.12.1928,-1.156069
31.01.1929,-1.156069
28.02.1929,0
31.03.1929,-0.584795
30.04.1929,-1.169591
31.05.1929,-1.162791
30.06.1929,0
31.07.1929,1.169591
31.08.1929,1.169591
30.09.1929,0
31.10.1929,0.581395
30.11.1929,0.581395
31.12.1929,0.584795
31.01.1930,0
28.02.1930,-0.584795
31.03.1930,-0.588235
30.04.1930,0.591716
31.05.1930,-0.588235
30.06.1930,-1.754386
31.07.1930,-4.046243
31.08.1930,-4.624277
30.09.1930,-4.046243
31.10.1930,-4.624277
30.11.1930,-5.202312
31.12.1930,-6.395349
31.01.1931,-7.017544
28.02.1931,-7.647059
31.03.1931,-7.692308
30.04.1931,-8.823529
31.05.1931,-9.467456
30.06.1931,-10.119048
31.07.1931,-9.036145
31.08.1931,-8.484848
30.09.1931,-9.638554
31.10.1931,-9.69697
30.11.1931,-10.365854
31.12.1931,-9.31677
31.01.1932,-10.062893
29.02.1932,-10.191083
31.03.1932,-10.25641
30.04.1932,-10.322581
31.05.1932,-10.457516
30.06.1932,-9.933775
31.07.1932,-9.933775
31.08.1932,-10.596026
30.09.1932,-10.666667
31.10.1932,-10.738255
30.11.1932,-10.204082
31.12.1932,-10.273973
31.01.1933,-9.79021
28.02.1933,-9.929078
31.03.1933,-10
30.04.1933,-9.352518
31.05.1933,-8.029197
30.06.1933,-6.617647
31.07.1933,-3.676471
31.08.1933,-2.222222
30.09.1933,-1.492537
31.10.1933,-0.75188
30.11.1933,0
31.12.1933,0.763359
31.01.1934,2.325581
28.02.1934,4.724409
31.03.1934,5.555556
30.04.1934,5.555556
31.05.1934,5.555556
30.06.1934,5.511811
31.07.1934,2.290076
31.08.1934,1.515152
30.09.1934,3.030303
31.10.1934,2.272727
30.11.1934,2.272727
31.12.1934,1.515152
31.01.1935,3.030303
28.02.1935,3.007519
31.03.1935,3.007519
30.04.1935,3.759398
31.05.1935,3.759398
30.06.1935,2.238806
31.07.1935,2.238806
31.08.1935,2.238806
30.09.1935,0.735294
31.10.1935,1.481481
30.11.1935,2.222222
31.12.1935,2.985075
31.01.1936,1.470588
29.02.1936,0.729927
31.03.1936,0
30.04.1936,-0.724638
31.05.1936,-0.724638
30.06.1936,0.729927
31.07.1936,1.459854
31.08.1936,2.189781
30.09.1936,2.189781
31.10.1936,2.189781
30.11.1936,1.449275
31.12.1936,1.449275
31.01.1937,2.173913
28.02.1937,2.173913
31.03.1937,3.649635
30.04.1937,4.379562
31.05.1937,5.109489
30.06.1937,4.347826
31.07.1937,4.316547
31.08.1937,3.571429
30.09.1937,4.285714
31.10.1937,4.285714
30.11.1937,3.571429
31.12.1937,2.857143
31.01.1938,0.70922
28.02.1938,0
31.03.1938,-0.704225
30.04.1938,-0.699301
31.05.1938,-2.083333
30.06.1938,-2.083333
31.07.1938,-2.758621
31.08.1938,-2.758621
30.09.1938,-3.424658
31.10.1938,-4.109589
30.11.1938,-3.448276
31.12.1938,-2.777778
31.01.1939,-1.408451
28.02.1939,-1.41844
31.03.1939,-1.41844
30.04.1939,-2.816901
31.05.1939,-2.12766
30.06.1939,-2.12766
31.07.1939,-2.12766
31.08.1939,-2.12766
30.09.1939,0
31.10.1939,0
30.11.1939,0
31.12.1939,0
31.01.1940,-0.714286
29.02.1940,0.719424
31.03.1940,0.719424
30.04.1940,1.449275
31.05.1940,1.449275
30.06.1940,2.173913
31.07.1940,1.449275
31.08.1940,1.449275
30.09.1940,-0.70922
31.10.1940,0
30.11.1940,0
31.12.1940,0.714286
31.01.1941,1.438849
28.02.1941,0.714286
31.03.1941,1.428571
30.04.1941,2.142857
31.05.1941,2.857143
30.06.1941,4.255319
31.07.1941,5
31.08.1941,6.428571
30.09.1941,7.857143
31.10.1941,9.285714
30.11.1941,10
31.12.1941,9.929078
31.01.1942,11.347518
28.02.1942,12.056738
31.03.1942,12.676056
30.04.1942,12.587413
31.05.1942,13.194444
30.06.1942,10.884354
31.07.1942,11.564626
31.08.1942,10.738255
30.09.1942,9.271523
31.10.1942,9.150327
30.11.1942,9.090909
31.12.1942,9.032258
31.01.1943,7.643312
28.02.1943,6.962025
31.03.1943,7.5
30.04.1943,8.074534
31.05.1943,7.361963
30.06.1943,7.361963
31.07.1943,6.097561
31.08.1943,4.848485
30.09.1943,5.454545
31.10.1943,4.191617
30.11.1943,3.571429
31.12.1943,2.95858
31.01.1944,2.95858
29.02.1944,2.95858
31.03.1944,1.162791
30.04.1944,0.574713
31.05.1944,0
30.06.1944,0.571429
31.07.1944,1.724138
31.08.1944,2.312139
30.09.1944,1.724138
31.10.1944,1.724138
30.11.1944,1.724138
31.12.1944,2.298851
31.01.1945,2.298851
28.02.1945,2.298851
31.03.1945,2.298851
30.04.1945,1.714286
31.05.1945,2.285714
30.06.1945,2.840909
31.07.1945,2.259887
31.08.1945,2.259887
30.09.1945,2.259887
31.10.1945,2.259887
30.11.1945,2.259887
31.12.1945,2.247191
31.01.1946,2.247191
28.02.1946,1.685393
31.03.1946,2.808989
30.04.1946,3.370787
31.05.1946,3.351955
30.06.1946,3.314917
31.07.1946,9.392265
31.08.1946,11.60221
30.09.1946,12.707182
31.10.1946,14.917127
30.11.1946,17.679558
31.12.1946,18.131868
31.01.1947,18.131868
28.02.1947,18.78453
31.03.1947,19.672131
30.04.1947,19.021739
31.05.1947,18.378378
30.06.1947,17.647059
31.07.1947,12.121212
31.08.1947,11.386139
30.09.1947,12.745098
31.10.1947,10.576923
30.11.1947,8.450704
31.12.1947,8.837209
31.01.1948,10.232558
29.02.1948,9.302326
31.03.1948,6.849315
30.04.1948,8.675799
31.05.1948,9.13242
30.06.1948,9.545455
31.07.1948,9.90991
31.08.1948,8.888889
30.09.1948,6.521739
31.10.1948,6.086957
30.11.1948,4.761905
31.12.1948,2.991453
31.01.1949,1.265823
28.02.1949,1.276596
31.03.1949,1.709402
30.04.1949,0.420168
31.05.1949,-0.41841
30.06.1949,-0.829876
31.07.1949,-2.868852
31.08.1949,-2.857143
30.09.1949,-2.44898
31.10.1949,-2.868852
30.11.1949,-1.652893
31.12.1949,-2.074689
31.01.1950,-2.083333
28.02.1950,-1.260504
31.03.1950,-0.840336
30.04.1950,-1.25523
31.05.1950,-0.420168
30.06.1950,-0.41841
31.07.1950,1.687764
31.08.1950,2.10084
30.09.1950,2.09205
31.10.1950,3.797468
30.11.1950,3.781513
31.12.1950,5.932203
31.01.1951,8.085106
28.02.1951,9.361702
31.03.1951,9.322034
30.04.1951,9.322034
31.05.1951,9.2827
30.06.1951,8.823529
31.07.1951,7.46888
31.08.1951,6.584362
30.09.1951,6.967213
31.10.1951,6.504065
30.11.1951,6.882591
31.12.1951,6
31.01.1952,4.330709
29.02.1952,2.33463
31.03.1952,1.937984
30.04.1952,2.325581
31.05.1952,1.930502
30.06.1952,2.316602
31.07.1952,3.088803
31.08.1952,3.088803
30.09.1952,2.298851
31.10.1952,1.908397
30.11.1952,1.136364
31.12.1952,0.754717
31.01.1953,0.377358
28.02.1953,0.760456
31.03.1953,1.140684
30.04.1953,0.757576
31.05.1953,1.136364
30.06.1953,1.132075
31.07.1953,0.374532
31.08.1953,0.749064
30.09.1953,0.749064
31.10.1953,1.123596
30.11.1953,0.749064
31.12.1953,0.749064
31.01.1954,1.12782
28.02.1954,1.509434
31.03.1954,1.12782
30.04.1954,0.75188
31.05.1954,0.749064
30.06.1954,0.373134
31.07.1954,0.373134
31.08.1954,0
30.09.1954,-0.371747
31.10.1954,-0.740741
30.11.1954,-0.371747
31.12.1954,-0.743494
31.01.1955,-0.743494
28.02.1955,-0.743494
31.03.1955,-0.743494
30.04.1955,-0.373134
31.05.1955,-0.743494
30.06.1955,-0.743494
31.07.1955,-0.371747
31.08.1955,-0.371747
30.09.1955,0.373134
31.10.1955,0.373134
30.11.1955,0.373134
31.12.1955,0.374532
31.01.1956,0.374532
29.02.1956,0.374532
31.03.1956,0.374532
30.04.1956,0.749064
31.05.1956,1.123596
30.06.1956,1.872659
31.07.1956,2.238806
31.08.1956,1.865672
30.09.1956,1.858736
31.10.1956,2.230483
30.11.1956,2.230483
31.12.1956,2.985075
31.01.1957,2.985075
28.02.1957,3.358209
31.03.1957,3.731343
30.04.1957,3.717472
31.05.1957,3.703704
30.06.1957,3.308824
31.07.1957,3.284672
31.08.1957,3.663004
30.09.1957,3.284672
31.10.1957,2.909091
30.11.1957,3.272727
31.12.1957,2.898551
31.01.1958,3.623188
28.02.1958,3.249097
31.03.1958,3.597122
30.04.1958,3.584229
31.05.1958,3.214286
30.06.1958,2.846975
31.07.1958,2.473498
31.08.1958,2.120141
30.09.1958,2.120141
31.10.1958,2.120141
30.11.1958,2.112676
31.12.1958,1.760563
31.01.1959,1.398601
28.02.1959,1.048951
31.03.1959,0.347222
30.04.1959,0.346021
31.05.1959,0.346021
30.06.1959,0.692042
31.07.1959,0.689655
31.08.1959,1.038062
30.09.1959,1.384083
31.10.1959,1.730104
30.11.1959,1.37931
31.12.1959,1.730104
31.01.1960,1.034483
29.02.1960,1.730104
31.03.1960,1.730104
30.04.1960,1.724138
31.05.1960,1.724138
30.06.1960,1.718213
31.07.1960,1.369863
31.08.1960,1.369863
30.09.1960,1.023891
31.10.1960,1.360544
30.11.1960,1.360544
31.12.1960,1.360544
31.01.1961,1.706485
28.02.1961,1.360544
31.03.1961,1.360544
30.04.1961,1.016949
31.05.1961,1.016949
30.06.1961,0.675676
31.07.1961,1.351351
31.08.1961,1.013514
30.09.1961,1.351351
31.10.1961,0.671141
30.11.1961,0.671141
31.12.1961,0.671141
31.01.1962,0.671141
28.02.1962,1.006711
31.03.1962,1.006711
30.04.1962,1.342282
31.05.1962,1.342282
30.06.1962,1.342282
31.07.1962,1
31.08.1962,1.337793
30.09.1962,1.333333
31.10.1962,1.333333
30.11.1962,1.333333
31.12.1962,1.333333
31.01.1963,1.333333
28.02.1963,0.996678
31.03.1963,1.328904
30.04.1963,0.993377
31.05.1963,0.993377
30.06.1963,1.324503
31.07.1963,1.320132
31.08.1963,1.320132
30.09.1963,0.986842
31.10.1963,1.315789
30.11.1963,1.315789
31.12.1963,1.644737
31.01.1964,1.644737
29.02.1964,1.644737
31.03.1964,1.311475
30.04.1964,1.311475
31.05.1964,1.311475
30.06.1964,1.30719
31.07.1964,1.302932
31.08.1964,0.977199
30.09.1964,1.302932
31.10.1964,0.974026
30.11.1964,1.298701
31.12.1964,0.970874
31.01.1965,0.970874
28.02.1965,0.970874
31.03.1965,1.294498
30.04.1965,1.618123
31.05.1965,1.618123
30.06.1965,1.935484
31.07.1965,1.607717
31.08.1965,1.935484
30.09.1965,1.607717
31.10.1965,1.92926
30.11.1965,1.602564
31.12.1965,1.923077
31.01.1966,1.923077
28.02.1966,2.564103
31.03.1966,2.555911
30.04.1966,2.866242
31.05.1966,2.866242
30.06.1966,2.531646
31.07.1966,2.848101
31.08.1966,3.481013
30.09.1966,3.481013
31.10.1966,3.785489
30.11.1966,3.785489
31.12.1966,3.459119
31.01.1967,3.459119
28.02.1967,2.8125
31.03.1967,2.803738
30.04.1967,2.47678
31.05.1967,2.786378
